"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","stdP","stdVPD","fdsi"
"199","SS452120",1975,34.2442794380188,40.5846,6.8189,3.53351952705074,23.70175,0.430467222036459,0.0553067678700302,0.158433787688825
"200","SS452120",1976,20.9600798740387,36.6601,8.7831,3.04261967022987,22.7216,-1.45953037745017,-0.522882933197408,-0.349378923487525
"201","SS452120",1977,11.7093999757767,33.2437,12.2307,2.46039193597029,22.7372,-3.70114647249554,-0.513680505674427,-1.34084336472036
"202","SS452120",1978,45.0341998062134,39.9712,9.533,3.80742219681346,24.7521,1.4850109974147,0.674907392790893,0.27545669889957
"203","SS452120",1979,35.5320598449707,38.7735,8.0155,3.57043538316166,23.3945,0.572595761010719,-0.125939761388727,0.322468401222404
"204","SS452120",1980,36.3220004844665,41.8278,8.6437,3.59242363163441,25.23575,0.657252002508834,0.960212140963382,-0.248527917835607
"205","SS452120",1981,24.3331993217468,39.2701,10.0902,3.19184164513964,24.68015,-0.88501569700886,0.632464145337133,-0.743586828072693
"206","SS452120",1982,40.1193001937866,40.7617,6.7438,3.69185752011475,23.75275,1.0400791879811,0.0853916270797822,0.409815531547004
"207","SS452120",1983,42.8853605232239,32.2301,6.495,3.75853052115122,19.36255,1.29677474443443,-2.50438384159978,1.97303583884703
"208","SS452120",1984,49.9363993701935,32.3452,6.779,3.91075018313729,19.5621,1.88283072255487,-2.38666945620162,2.16498041339705
"209","SS452120",1985,26.9443197383881,31.8326,6.2226,3.2937725047646,19.0276,-0.492575004008068,-2.70197057870383,1.2963705223106
"210","SS452120",1986,40.6628595542908,33.6166,10.1556,3.70531513416531,21.8861,1.09189191087553,-1.01574371495719,1.04924892116126
"211","SS452120",1987,23.1368599479198,36.0929,7.3914,3.14142701454216,21.74215,-1.07911542933578,-1.10065970482471,0.141558645794098
"212","SS452120",1988,31.727140021801,42.2433,8.0054,3.45717246670136,25.12435,0.136525883934076,0.894497370062081,-0.440847138303772
"213","SS452120",1989,39.1032997093201,41.6923,7.8956,3.66620685497327,24.79395,0.94132239498343,0.699594674318898,0.022408836174126
